,accuracy,f1_score,precision,recall
PatientIntroduction_Title,0.0,0.0,0.0,0.0
PatientIntroduction_GivenNames/Initials,0.17307692307692307,0.28346456692913385,0.782608695652174,0.17307692307692307
PatientIntroduction_Lastname,0.17,0.288135593220339,0.9444444444444444,0.17
PatientIntroduction_Ageinyears,0.9181494661921709,0.9068541300527241,0.8958333333333334,0.9181494661921709
PatientIntroduction_Gender,1.0,0.9402985074626865,0.8873239436619719,1.0
PatientIntroduction_CurrentRoom,0.5,0.6428571428571429,0.9,0.5
PatientIntroduction_CurrentBed,0.7948717948717948,0.6869806094182825,0.6048780487804878,0.7948717948717948
PatientIntroduction_UnderDr_GivenNames/Initials,0.0,0.0,0.0,0.0
PatientIntroduction_UnderDr_Lastname,0.5185185185185185,0.5410628019323672,0.5656565656565656,0.5185185185185185
PatientIntroduction_AdmissionReason/Diagnosis,0.3474264705882353,0.42329227323628216,0.5415472779369628,0.3474264705882353
PatientIntroduction_Allergy,0.3333333333333333,0.18181818181818182,0.125,0.3333333333333333
PatientIntroduction_ChronicCondition,0.0,0.0,0.0,0.0
PatientIntroduction_Disease/ProblemHistory,0.011278195488721804,0.021660649819494587,0.2727272727272727,0.011278195488721804
PatientIntroduction_CarePlan,0.0,0.0,0.0,0.0
MyShift_Status,0.5187713310580204,0.5305410122164048,0.5428571428571428,0.5187713310580204
MyShift_Contraption,0.09090909090909091,0.10666666666666667,0.12903225806451613,0.09090909090909091
MyShift_Input/Diet,0.4050632911392405,0.5,0.6530612244897959,0.4050632911392405
MyShift_Output/Diuresis/BowelMovement,0.5625,0.6545454545454547,0.782608695652174,0.5625
MyShift_Wounds/Skin,0.25,0.24489795918367346,0.24,0.25
MyShift_ActivitiesOfDailyLiving,0.6703296703296703,0.6506666666666667,0.6321243523316062,0.6703296703296703
MyShift_RiskManagement,0.02127659574468085,0.04040404040404041,0.4,0.02127659574468085
MyShift_OtherObservation,0.1641337386018237,0.2186234817813765,0.32727272727272727,0.1641337386018237
Appointment/Procedure_Status,0.3626373626373626,0.3350253807106599,0.3113207547169811,0.3626373626373626
Appointment/Procedure_Description,0.11711711711711711,0.19402985074626863,0.5652173913043478,0.11711711711711711
Appointment/Procedure_ClinicianTitle,0.0,0.0,0.0,0.0
Appointment/Procedure_ClinicianGivenNames/Initials,0.0,0.0,0.0,0.0
Appointment/Procedure_ClinicianLastname,0.0,0.0,0.0,0.0
Appointment/Procedure_Hospital,0.0,0.0,0.0,0.0
Appointment/Procedure_Day,0.038461538461538464,0.0625,0.16666666666666666,0.038461538461538464
Appointment/Procedure_Time,0.21052631578947367,0.3333333333333333,0.8,0.21052631578947367
Appointment/Procedure_City,0.0,0.0,0.0,0.0
Appointment/Procedure_Ward,0.0,0.0,0.0,0.0
Medication_Medicine,0.3615819209039548,0.4620938628158845,0.64,0.3615819209039548
Medication_Dosage,0.11965811965811966,0.20588235294117646,0.7368421052631579,0.11965811965811966
Medication_Status,0.05714285714285714,0.0909090909090909,0.2222222222222222,0.05714285714285714
Future_Alert/Warning/AbnormalResult,0.041666666666666664,0.026666666666666665,0.0196078431372549,0.041666666666666664
Future_Goal/TaskToBeCompleted/ExpectedOutcome,0.23316062176165803,0.2380952380952381,0.24324324324324326,0.23316062176165803
Future_Discharge/TransferPlan,0.12359550561797752,0.18803418803418803,0.39285714285714285,0.12359550561797752
NA,0.9076776649746193,0.8252091145082203,0.7564780539397145,0.9076776649746193
#IDK#,0.0,0.0,0.0,0.0
